,Daerah,UHH (tahun),HLS (tahun),RLS (tahun),Pengeluaran (ribu rupiah),IPM
445,Kota Gorontalo,73.25,14.58,10.4,13351,78.64
446,Majene,70.06,13.71,9.28,10462,72.44
447,Polewali Mandar,70.82,13.48,7.71,9096,69.24
448,Mamasa,72.16,12.54,8.11,8108,68.14
449,Mamuju,71.79,13.26,8.16,10075,71.07
450,Pasangkayu,70.09,12.07,8.12,11649,70.42
451,Mamuju Tengah,69.76,12.66,7.73,8821,67.63
452,Maluku Tenggara Barat,70.19,12.33,9.91,6722,67.04
453,Maluku Tenggara,70.71,12.9,9.79,8174,69.91
454,Maluku Tengah,70.83,14.37,9.78,10788,74.34
455,Buru,70.19,13.23,9.01,10879,72.11
456,Kepulauan Aru,70.27,12.36,8.97,8133,68.19
457,Seram Bagian Barat,70.88,13.69,9.35,9324,71.68
458,Seram Bagian Timur,68.33,12.91,8.82,1002,69.84
459,Maluku Barat Daya,69.3,12.7,8.92,7223,66.71
460,Buru Selatan,70.11,12.84,8.23,8108,67.68
461,Kota Ambon,72.86,16.07,12.22,14692,82.84
462,Kota Tual,71.32,14.01,10.66,7825,71.67
463,Halmahera Barat,70.46,13.24,8.58,8046,68.56
464,Halmahera Tengah,70.19,13.23,9.19,8675,69.95
